2026-01-05 22:21:29,433 INFO    MainThread:2563534 [wandb_setup.py:_flush():81] Current SDK version is 0.21.4
2026-01-05 22:21:29,434 INFO    MainThread:2563534 [wandb_setup.py:_flush():81] Configure stats pid to 2563534
2026-01-05 22:21:29,434 INFO    MainThread:2563534 [wandb_setup.py:_flush():81] Loading settings from /n/home13/chloe00/.config/wandb/settings
2026-01-05 22:21:29,434 INFO    MainThread:2563534 [wandb_setup.py:_flush():81] Loading settings from /n/holylfs06/LABS/sham_lab/Users/chloe00/sort-llm/wandb/settings
2026-01-05 22:21:29,434 INFO    MainThread:2563534 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-01-05 22:21:29,434 INFO    MainThread:2563534 [wandb_init.py:setup_run_log_directory():686] Logging user logs to /n/holylfs06/LABS/sham_lab/Users/chloe00/sort-llm/wandb/run-20260105_222129-d8tusatr/logs/debug.log
2026-01-05 22:21:29,434 INFO    MainThread:2563534 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to /n/holylfs06/LABS/sham_lab/Users/chloe00/sort-llm/wandb/run-20260105_222129-d8tusatr/logs/debug-internal.log
2026-01-05 22:21:29,434 INFO    MainThread:2563534 [wandb_init.py:init():813] calling init triggers
2026-01-05 22:21:29,434 INFO    MainThread:2563534 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-01-05 22:21:29,434 INFO    MainThread:2563534 [wandb_init.py:init():854] starting backend
2026-01-05 22:21:29,761 INFO    MainThread:2563534 [wandb_init.py:init():857] sending inform_init request
2026-01-05 22:21:29,790 INFO    MainThread:2563534 [wandb_init.py:init():865] backend started and connected
2026-01-05 22:21:29,792 INFO    MainThread:2563534 [wandb_init.py:init():936] updated telemetry
2026-01-05 22:21:29,863 INFO    MainThread:2563534 [wandb_init.py:init():960] communicating run to backend with 90.0 second timeout
2026-01-05 22:21:30,246 INFO    MainThread:2563534 [wandb_init.py:init():1011] starting run threads in backend
2026-01-05 22:21:32,458 INFO    MainThread:2563534 [wandb_run.py:_console_start():2506] atexit reg
2026-01-05 22:21:32,458 INFO    MainThread:2563534 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2026-01-05 22:21:32,458 INFO    MainThread:2563534 [wandb_run.py:_redirect():2423] Wrapping output streams.
2026-01-05 22:21:32,458 INFO    MainThread:2563534 [wandb_run.py:_redirect():2446] Redirects installed.
2026-01-05 22:21:32,475 INFO    MainThread:2563534 [wandb_init.py:init():1049] run started, returning control to user process
