training,n_layers,use_mlp,length_mode,use_layernorm,min_train_max_k_at_0.95
dynamic,1,0,curriculum,0,
dynamic,1,0,curriculum,1,6
dynamic,1,0,mix,0,
dynamic,1,0,mix,1,6
dynamic,1,1,curriculum,0,
dynamic,1,1,curriculum,1,8
dynamic,1,1,mix,0,
dynamic,1,1,mix,1,6
dynamic,2,0,curriculum,0,
dynamic,2,0,curriculum,1,8
dynamic,2,0,mix,0,
dynamic,2,0,mix,1,10
dynamic,2,1,curriculum,0,
dynamic,2,1,curriculum,1,12
dynamic,2,1,mix,0,
dynamic,2,1,mix,1,8
fixed,1,0,fixed,0,
fixed,1,0,fixed,1,4
fixed,1,1,fixed,0,
fixed,1,1,fixed,1,6
fixed,2,0,fixed,0,
fixed,2,0,fixed,1,8
fixed,2,1,fixed,0,
fixed,2,1,fixed,1,10
